dates_to_analyze = [
 '2023-05-02',
 '2023-05-05',
 '2023-05-07',
 '2023-05-10',
 '2023-05-12',
 '2023-05-15',
 '2023-05-17',
 '2023-05-20',
 '2023-05-22',
 '2023-05-30',
 '2023-06-01',
 '2023-06-04',
 '2023-06-06',
 '2023-06-09',
 '2023-06-11',
 '2023-06-14',
 '2023-06-29',
 '2023-07-01',
 '2023-07-04',
 '2023-07-06',
 '2023-07-11',
 '2023-07-14',
 '2023-07-21',
 '2023-07-26',
 '2023-07-29',
 '2023-08-18',
 '2023-08-20',
 '2023-08-23',
 '2023-08-28',
 '2022-05-07',
 '2022-05-12',
 '2022-05-15',
 '2022-05-17',
 '2022-05-30',
 '2022-06-01',
 '2022-06-09',
 '2022-06-14',
 '2022-06-19',
 '2022-06-24',
 '2022-06-26',
 '2022-07-01',
 '2022-07-09',
 '2022-07-14',
 '2022-07-24',
 '2022-07-26',
 '2022-08-03',
 '2022-08-05',
 '2022-08-10',
 '2022-08-13',
 '2022-08-15',
 '2022-08-23',
 '2022-08-25',
 '2022-08-28',
 '2022-08-30',]





 dates_to_analyze = [
    '2023-05-02',
    '2023-05-05',
    '2023-05-07',
    '2023-05-10',
    '2023-05-12',
    '2023-05-15',
    '2023-05-17',
    '2023-05-20',
    '2023-05-22',
]






 dates_to_analyze = [
    '2023-05-02',
    '2023-05-05',
    '2023-05-07',
    '2023-05-12',
    '2023-05-15',
    '2023-05-17',
    '2023-05-22',
    '2023-05-30',
    '2023-06-06',
    '2023-06-11',
    '2023-07-01',
    '2023-07-11',
    '2023-07-26',
    '2023-08-18',
    '2023-08-20',
    '2023-08-23',
    '2022-05-07',
    '2022-05-12',
    '2022-05-15',
    '2022-05-17',
    '2022-06-01',
    '2022-06-09',
    '2022-06-19',
    '2022-07-01',
    '2022-07-24',
    '2022-07-26',
    '2022-08-03',
    '2022-08-05',
    '2022-08-10',
    '2022-08-13',
    '2022-08-25',
    '2022-08-28',
    '2022-08-30',


]




ndvi, savi, revi, evi, tvi, gndvi, ndii, cvi, gci, pri, ndre, osavi, arvi, vari, my_index,

["ndvi", "savi", "revi", "evi", "tvi", "gndvi", "ndii", "cvi", "gci", "pri", "ndre", "osavi", "arvi", "vari", "my_index",]
